SEASON,WEEK,TEAM1,TEAM 1 SCORE,TEAM 2,TEAM 2 SCORE,HOME TEAM,FAVORITE TEAM,SPREAD
2017,1,,,,,,,
2017,2,,,,,,,
2017,3,,,,,,,
2017,4,,,,,,,
2017,5,,,,,,,
2017,6,,,,,,,
2017,7,,,,,,,
2017,8,,,,,,,
2017,9,,,,,,,
2017,10,,,,,,,
2017,11,TEN,17,PIT,40,PIT,PIT,7
2017,11,JAX,19,CLE,7,CLE,JAX,7.5
2017,11,TB,30,MIA,20,MIA,TB,3
2017,11,BAL,23,GB,0,GB,BAL,2
2017,11,DET,27,CHI,24,CHI,DET,3
2017,11,LAR,7,MIN,24,MIN,MIN,2.5
2017,11,ARZ,21,HOU,31,HOU,ARZ,1
2017,11,KC,9,NYG,12,NYG,KC,7.5
2017,11,WAS,31,NO,34,NO,NO,7.5
2017,11,BUF,24,LAC,54,LAC,LAC,4
2017,11,CIN,20,DEN,17,DEN,DEN,2.5
2017,11,NE,33,OAK,8,-,NE,6.5
2017,11,PHI,37,DAL,9,DAL,PHI,3.5
2017,11,ATL,34,SEA,31,SEA,ATL,3
2017,12,MIN,,DET,,DET,MIN,2.5
2017,12,LAC,,DAL,,DAL,LAC,1.5
2017,12,NYG,,WAS,,WAS,WAS,7
2017,12,CLE,,CIN,,CIN,CIN,8
2017,12,CAR,,NYJ,,NYJ,CAR,4.5
2017,12,TEN,,IND,,IND,TEN,3
2017,12,TB,,ATL,,ATL,ATL,9.5
2017,12,MIA,,NE,,NE,NE,16.5
2017,12,PHI,,CHI,,PHI,PHI,13.5
2017,12,KC,,BUF,,KC,KC,10
2017,12,SEA,,SF,,SF,SEA,6.5
2017,12,DEN,,OAK,,OAK,OAK,5
2017,12,NO,,LAR,,LAR,LAR,2.5
2017,12,ARZ,,JAX,,ARZ,JAX,5.5
2017,12,GB,,PIT,,PIT,PIT,14
2017,12,BAL,,HOU,,BAL,BAL,7
